latitude,longitude,farmland_area_m2,farmyard_area_m2,vineyard_area_m2
32.57031067739598,-6.240455678586556,146473977.07598257,0.0,0.0
33.142766342193106,-8.106784987237177,226951863.5233626,146153.720456302,0.0
33.50718790759607,-7.33993661378355,214256183.08316374,0.0,0.0
35.245242165293845,-5.2909693282717285,1466027.8534331871,0.0,0.0
34.04177887129805,-5.907753960776517,50628059.042729065,0.0,0.0
31.355042089920683,-8.135883499923409,6020564.562244682,175329.0207912047,0.0
32.72549499529792,-7.926502887897812,36192034.99564092,0.0,0.0
32.93599506991682,-8.063450299191743,60240120.96442721,0.0,0.0
32.99616455674907,-6.829559435719204,120693791.27249172,0.0,0.0
32.10688518420415,-6.464064858606208,0.0,0.0,0.0
32.10895868809325,-6.509500117436175,0.0,0.0,0.0
34.732840049428994,-2.811657398769739,108212922.97123665,2301634.6187149896,0.0
35.44589227760673,-5.408276877076048,130366.8738031746,0.0,0.0
32.32419782656871,-9.187815890890363,46767.20930084112,49471.98564901469,0.0
34.663013799847135,-2.9377919364485474,23570996.074500818,135046.76035881578,0.0
35.29897967297382,-5.492899558967337,0.0,0.0,0.0
31.64543494936368,-7.2611196789299,41941124.80494697,19384.141511779893,0.0
31.99385601164573,-4.460688370571687,21813795.032365613,0.0,0.0
34.16162509292388,-4.749205927711159,16163464.407198675,22824.88716337974,0.0
33.93798591691678,-6.749806051208053,100270450.08763364,0.0,78774.2700035772
35.640862538975114,-5.732615691261003,38399193.871156946,0.0,0.0
34.94162683281227,-5.839271212895993,1030.6615330004024,0.0,0.0
32.475698738106544,-7.638111317682956,0.0,0.0,0.0
35.08582820720631,-3.818961815435273,19436403.600563236,0.0,0.0
35.15477853510149,-6.08870338585234,8702155.41384261,0.0,0.0
31.665373245578955,-7.257572818430674,41941124.80494697,19384.141511779893,0.0
31.845924615428935,-7.078143398698728,0.0,0.0,0.0
33.46071743106484,-5.93088350486971,1854915.4136235954,5288.124718126774,0.0
33.50838534141053,-6.606380991389413,193876029.39707756,1645725.4644349706,0.0
33.97787128583144,-1.7342505291384218,0.0,128781.11634287359,0.0
34.03891278319853,-2.1580969499140106,14051137.730258916,311222.3757330538,0.0
33.12370293614184,-7.984514565694495,256507017.85947117,0.0,0.0
31.595199855888772,-7.624905492893959,2340798.0822130726,0.0,0.0
31.907645940907727,-8.206463770786174,180502074.2378245,0.0,0.0
31.814366400289305,-6.823280045437512,0.0,0.0,0.0
32.77864023376003,-6.569412946749877,31928002.236648735,0.0,0.0
